Date,Close
1/2/2014 16:00:00,54.86
1/3/2014 16:00:00,55.12
1/6/2014 16:00:00,54.23
1/7/2014 16:00:00,54.95
1/8/2014 16:00:00,56.94
1/9/2014 16:00:00,56.29
1/10/2014 16:00:00,56.95
1/13/2014 16:00:00,56.21
1/14/2014 16:00:00,57.51
1/15/2014 16:00:00,59.72
1/16/2014 16:00:00,59.21
1/17/2014 16:00:00,59.86
1/21/2014 16:00:00,60.95
1/22/2014 16:00:00,61.14
1/23/2014 16:00:00,60.08
1/24/2014 16:00:00,58.4
1/27/2014 16:00:00,57.08
1/28/2014 16:00:00,59.37
1/29/2014 16:00:00,57.96
1/30/2014 16:00:00,60.97
1/31/2014 16:00:00,60.53
2/3/2014 16:00:00,58.47
2/4/2014 16:00:00,60.96
2/5/2014 16:00:00,61.63
2/6/2014 16:00:00,61.7
2/7/2014 16:00:00,61.55
2/10/2014 16:00:00,61.04
2/11/2014 16:00:00,61.23
2/12/2014 16:00:00,61.48
2/13/2014 16:00:00,63.13
2/14/2014 16:00:00,62.8
2/18/2014 16:00:00,63.73
2/19/2014 16:00:00,63.02
2/20/2014 16:00:00,63.01
2/21/2014 16:00:00,63.59
2/24/2014 16:00:00,63.91
2/25/2014 16:00:00,63.66
2/26/2014 16:00:00,63.74
2/27/2014 16:00:00,66.22
2/28/2014 16:00:00,62.37
3/3/2014 16:00:00,61.49
3/4/2014 16:00:00,63.07
3/5/2014 16:00:00,63.68
3/6/2014 16:00:00,63.14
3/7/2014 16:00:00,60.74
3/10/2014 16:00:00,59.78
3/11/2014 16:00:00,61.02
3/12/2014 16:00:00,61.52
3/13/2014 16:00:00,59.06
3/14/2014 16:00:00,58.16
3/17/2014 16:00:00,58.32
3/18/2014 16:00:00,59.63
3/19/2014 16:00:00,58.43
3/20/2014 16:00:00,59.12
3/21/2014 16:00:00,57.03
3/24/2014 16:00:00,56.36
3/25/2014 16:00:00,56.65
3/26/2014 16:00:00,55.21
3/27/2014 16:00:00,55.97
3/28/2014 16:00:00,55.75
3/31/2014 16:00:00,57.09
4/1/2014 16:00:00,58.8
4/2/2014 16:00:00,58.15
4/3/2014 16:00:00,55.74
4/4/2014 16:00:00,54.41
4/7/2014 16:00:00,53.97
4/8/2014 16:00:00,55.21
4/9/2014 16:00:00,56.95
4/10/2014 16:00:00,54.55
4/11/2014 16:00:00,52.87
4/14/2014 16:00:00,53.78
4/15/2014 16:00:00,55.23
4/16/2014 16:00:00,55.98
4/17/2014 16:00:00,56.1
4/21/2014 16:00:00,56.11
4/22/2014 16:00:00,57.08
4/23/2014 16:00:00,55.64
4/24/2014 16:00:00,54.73
4/25/2014 16:00:00,52.8
4/28/2014 16:00:00,49.13
4/29/2014 16:00:00,50.76
4/30/2014 16:00:00,51.65
5/1/2014 16:00:00,52.08
5/2/2014 16:00:00,52.44
5/5/2014 16:00:00,53.65
5/6/2014 16:00:00,51.78
5/7/2014 16:00:00,50.43
5/8/2014 16:00:00,50.15
5/9/2014 16:00:00,50.28
5/12/2014 16:00:00,53.43
5/13/2014 16:00:00,52.28
5/14/2014 16:00:00,51.88
5/15/2014 16:00:00,51.42
5/16/2014 16:00:00,51.8
5/19/2014 16:00:00,53.23
5/20/2014 16:00:00,52.89
5/21/2014 16:00:00,50.19
5/22/2014 16:00:00,53.27
5/23/2014 16:00:00,53.41
5/27/2014 16:00:00,54.36
5/28/2014 16:00:00,53.34
5/29/2014 16:00:00,54.4
5/30/2014 16:00:00,52.63
6/2/2014 16:00:00,52.38
6/3/2014 16:00:00,50.95
6/4/2014 16:00:00,51.07
6/5/2014 16:00:00,51.37
6/6/2014 16:00:00,51.8
6/9/2014 16:00:00,51.71
6/10/2014 16:00:00,53.06
6/11/2014 16:00:00,53.31
6/12/2014 16:00:00,53.04
6/13/2014 16:00:00,54.31
6/16/2014 16:00:00,54.61
6/17/2014 16:00:00,57.82
6/18/2014 16:00:00,57.76
6/19/2014 16:00:00,57.88
6/20/2014 16:00:00,57.51
6/23/2014 16:00:00,58
6/24/2014 16:00:00,57.46
6/25/2014 16:00:00,57.41
6/26/2014 16:00:00,57.17
6/27/2014 16:00:00,57.38
6/30/2014 16:00:00,58.08
7/1/2014 16:00:00,59.2
7/2/2014 16:00:00,58.91
7/3/2014 16:00:00,58.76
7/7/2014 16:00:00,57.34
7/8/2014 16:00:00,54.89
7/9/2014 16:00:00,54.6
7/10/2014 16:00:00,54.3
7/11/2014 16:00:00,54.21
7/14/2014 16:00:00,54.73
7/15/2014 16:00:00,53.74
7/16/2014 16:00:00,53.95
7/17/2014 16:00:00,52.64
7/18/2014 16:00:00,53.5
7/21/2014 16:00:00,53.32
7/22/2014 16:00:00,53.6
7/23/2014 16:00:00,53.6
7/24/2014 16:00:00,54.06
7/25/2014 16:00:00,54.89
7/28/2014 16:00:00,54
7/29/2014 16:00:00,54.83
7/30/2014 16:00:00,56.25
7/31/2014 16:00:00,54.25
8/1/2014 16:00:00,53.48
8/4/2014 16:00:00,54.9
8/5/2014 16:00:00,54.3
8/6/2014 16:00:00,53.89
8/7/2014 16:00:00,53.75
8/8/2014 16:00:00,54.44
8/11/2014 16:00:00,54.87
8/12/2014 16:00:00,52.75
8/13/2014 16:00:00,52.82
8/14/2014 16:00:00,53.51
8/15/2014 16:00:00,53.63
8/18/2014 16:00:00,54.38
8/19/2014 16:00:00,54.96
8/20/2014 16:00:00,55.39
8/21/2014 16:00:00,55.71
8/22/2014 16:00:00,59.8
8/25/2014 16:00:00,59.23
8/26/2014 16:00:00,59.64
8/27/2014 16:00:00,59.58
8/28/2014 16:00:00,58.29
8/29/2014 16:00:00,59.09
9/2/2014 16:00:00,59.85
9/3/2014 16:00:00,59.03
9/4/2014 16:00:00,59.08
9/5/2014 16:00:00,59.81
9/8/2014 16:00:00,60.36
9/9/2014 16:00:00,59.66
9/10/2014 16:00:00,60.7
9/11/2014 16:00:00,61.21
9/12/2014 16:00:00,59.25
9/15/2014 16:00:00,57.57
9/16/2014 16:00:00,57.61
9/17/2014 16:00:00,57.45
9/18/2014 16:00:00,57.66
9/19/2014 16:00:00,58.24
9/22/2014 16:00:00,57.32
9/23/2014 16:00:00,56.81
9/24/2014 16:00:00,57.66
9/25/2014 16:00:00,55.92
9/26/2014 16:00:00,56.56
9/29/2014 16:00:00,57.23
9/30/2014 16:00:00,57.53
10/1/2014 16:00:00,56.73
10/2/2014 16:00:00,56.64
10/3/2014 16:00:00,58.46
10/6/2014 16:00:00,58.3
10/7/2014 16:00:00,56.91
10/8/2014 16:00:00,57.9
10/9/2014 16:00:00,57.13
10/10/2014 16:00:00,54.77
10/13/2014 16:00:00,53.23
10/14/2014 16:00:00,52.72
10/15/2014 16:00:00,53.09
10/16/2014 16:00:00,53.87
10/17/2014 16:00:00,55.63
10/20/2014 16:00:00,56.03
10/21/2014 16:00:00,57.24
10/22/2014 16:00:00,56.25
10/23/2014 16:00:00,57.88
10/24/2014 16:00:00,59.57
10/27/2014 16:00:00,59.11
10/28/2014 16:00:00,61.53
10/29/2014 16:00:00,60.97
10/30/2014 16:00:00,61.72
10/31/2014 16:00:00,63.99
11/3/2014 16:00:00,63.59
11/4/2014 16:00:00,63.57
11/5/2014 16:00:00,61.91
11/6/2014 16:00:00,63.09
11/7/2014 16:00:00,63.97
11/10/2014 16:00:00,64.45
11/11/2014 16:00:00,64.06
11/12/2014 16:00:00,63.77
11/13/2014 16:00:00,63.16
11/14/2014 16:00:00,63.91
11/17/2014 16:00:00,62.51
11/18/2014 16:00:00,62.47
11/19/2014 16:00:00,61.02
11/20/2014 16:00:00,58.3
11/21/2014 16:00:00,58.19
11/24/2014 16:00:00,58.09
11/25/2014 16:00:00,59.34
11/26/2014 16:00:00,59.23
11/28/2014 16:00:00,59.87
12/1/2014 16:00:00,59.08
12/2/2014 16:00:00,59.25
12/3/2014 16:00:00,58.88
12/4/2014 16:00:00,58.95
12/5/2014 16:00:00,58.85
12/8/2014 16:00:00,56.41
12/9/2014 16:00:00,56.14
12/10/2014 16:00:00,55.32
12/11/2014 16:00:00,55.48
12/12/2014 16:00:00,55.07
12/15/2014 16:00:00,55.41
12/16/2014 16:00:00,53.79
12/17/2014 16:00:00,57
